Time [s],V3-5,V4-6,V5-7,V6-8,V7-9,V8-10,V9-11,V10-12,V11-13,V12-14,V13-15,V14-16,V15-17,V16-18,V17-18
1,-79.06,-330.31,-263.06,71.12,14.06,21.69,103.19,-27.5,163.44,146.81,28.12,44.06,-115.31,-177.25,-88.56
2,-79,-330.37,-263.06,71.06,14.06,21.69,103.25,-27.5,163.5,146.87,28.12,44.06,-115.31,-177.31,-88.62
3,-78.94,-330.37,-263.12,71.12,14.06,21.69,103.25,-27.5,163.5,146.87,28.12,44.06,-115.31,-177.38,-88.69
4,-78.94,-330.37,-263.12,71.12,14.06,21.69,103.31,-27.5,163.5,146.94,28.12,44.06,-115.31,-177.44,-88.75
5,-78.94,-330.44,-263.12,71.12,14.19,21.69,103.25,-27.5,163.5,146.94,28.12,44,-115.31,-177.44,-88.75
6,-78.94,-330.44,-263.19,71.12,14.13,21.69,103.19,-27.5,163.5,146.94,28.12,44,-115.25,-177.5,-88.87
7,-78.94,-330.56,-263.19,71.06,14.13,21.69,103.31,-27.5,163.5,147,28.12,44,-115.31,-177.56,-88.87
8,-78.94,-330.56,-263.19,71.06,14.19,21.69,103.25,-27.5,163.5,147,28.12,44,-115.25,-177.56,-88.94
9,-78.94,-330.62,-263.19,71.06,14.25,21.62,103.25,-27.5,163.5,147.06,28.12,44,-115.31,-177.62,-89
10,-79,-330.69,-263.25,71.06,14.19,21.62,103.31,-27.56,163.5,147.13,28.12,43.94,-115.31,-177.69,-89.06
11,-79,-330.69,-263.25,71.06,14.19,21.62,103.25,-27.5,163.56,147.13,28.12,43.87,-115.31,-177.75,-89.13
12,-79.06,-330.75,-263.25,71.06,14.19,21.62,103.31,-27.56,163.56,147.19,28.12,43.87,-115.31,-177.75,-89.19
13,-79.12,-330.75,-263.25,71.06,14.19,21.62,103.31,-27.56,163.56,147.25,28.06,43.87,-115.25,-177.81,-89.25
14,-79.12,-330.81,-263.31,71.06,14.25,21.62,103.31,-27.56,163.56,147.25,28.12,43.87,-115.31,-177.87,-89.31
15,-79.12,-330.87,-263.31,71.06,14.19,21.62,103.38,-27.56,163.56,147.31,28.12,43.81,-115.31,-177.94,-89.37
16,-79.12,-330.94,-263.31,71.06,14.5,21.62,103.06,-27.56,163.56,147.31,28.12,43.81,-115.31,-177.94,-89.44
17,-79.19,-330.94,-263.37,71.06,14.31,21.56,103.25,-27.56,163.56,147.37,28.12,43.81,-115.31,-178,-89.44
18,-79.19,-331,-263.37,71.06,14.25,21.56,103.38,-27.56,163.62,147.37,28.12,43.81,-115.31,-178,-89.5
19,-79.19,-331,-263.37,71.06,14.19,21.56,103.38,-27.56,163.62,147.37,28.12,43.75,-115.31,-178.06,-89.56
20,-79.12,-331.06,-263.37,71.06,14.19,21.56,103.44,-27.62,163.62,147.44,28.12,43.75,-115.31,-178.12,-89.62
21,-74,-323.56,-257.06,75.69,13.75,16.87,102.12,-22.62,160.19,136.69,24.81,47.38,-110.25,-173.44,-84.62
22,-75.06,-324,-257.31,75.31,13.5,17.06,102.38,-22.56,160.31,137.12,24.81,47.38,-110.25,-172.62,-83.5
23,-75.94,-324.44,-257.5,75.06,13.25,17.37,102.62,-22.69,160.37,137.5,24.87,47.44,-110.37,-172.37,-82.75
24,-76.56,-324.75,-257.81,74.69,13.06,17.69,102.87,-22.75,160.44,137.88,25,47.56,-110.63,-172.31,-82.37
25,-77.06,-325.06,-258,74.31,12.94,18,103.12,-22.81,160.56,138.12,25.19,47.75,-110.81,-172.31,-82.06
26,-77.5,-325.31,-258.19,74,12.81,18.31,103.25,-22.94,160.63,138.37,25.37,47.88,-111.06,-172.5,-81.94
27,-77.81,-325.5,-258.38,73.69,12.75,18.56,103.38,-23.12,160.69,138.62,25.56,48.06,-111.37,-172.75,-81.87
28,-78.19,-325.62,-258.56,73.5,12.63,18.87,103.5,-23.31,160.75,138.81,25.81,48.25,-111.56,-173.06,-82.06
