Time [s],V3-5,V4-6,V5-7,V6-8,V7-9,V8-10,V9-11,V10-12,V11-13,V12-14,V13-15,V14-16,V15-17,V16-18,V17-18
1,-81.37,-326.37,-227.19,60.63,-22.06,27.81,109.69,-27.37,143.44,143.06,35.88,23.06,-129.63,-159.81,-72.94
2,-81.44,-326.44,-227.19,60.56,-22.06,27.81,109.75,-27.37,143.5,143.13,35.88,23,-129.69,-159.87,-73
3,-81.44,-326.44,-227.19,60.63,-22.06,27.81,109.75,-27.37,143.56,143.19,35.88,22.94,-129.69,-159.94,-73.06
4,-81.5,-326.5,-227.25,60.63,-22.06,27.81,109.75,-27.37,143.56,143.25,35.88,22.94,-129.69,-159.94,-73.06
5,-81.5,-326.5,-227.19,60.56,-22.06,27.75,109.75,-27.37,143.62,143.31,35.88,22.87,-129.75,-160,-73.12
6,-81.5,-326.5,-227.19,60.63,-22.06,27.75,109.75,-27.44,143.69,143.37,35.88,22.87,-129.75,-160,-73.19
7,-81.5,-326.5,-227.25,60.63,-22.06,27.75,109.75,-27.44,143.69,143.44,35.94,22.87,-129.75,-160.06,-73.25
8,-81.44,-326.56,-227.25,60.63,-22.13,27.75,109.75,-27.44,143.69,143.5,35.94,22.81,-129.81,-160.12,-73.25
9,-81.37,-326.56,-227.25,60.63,-22.06,27.69,109.75,-27.5,143.69,143.56,35.94,22.75,-129.81,-160.19,-73.31
10,-81.31,-326.62,-227.25,60.63,-22.06,27.69,109.75,-27.44,143.75,143.62,36,22.75,-129.81,-160.19,-73.37
11,-81.31,-326.62,-227.25,60.63,-22.06,27.69,109.75,-27.5,143.75,143.75,35.94,22.69,-129.81,-160.25,-73.44
12,-81.31,-326.75,-227.25,60.63,-22.06,27.69,109.75,-27.5,143.81,143.75,36,22.69,-129.87,-160.25,-73.44
13,-81.31,-326.75,-227.25,60.63,-22.06,27.62,109.75,-27.5,143.81,143.81,35.94,22.69,-129.87,-160.31,-73.5
14,-81.37,-326.75,-227.25,60.63,-22.06,27.62,109.75,-27.5,143.81,143.81,35.94,22.62,-129.87,-160.31,-73.56
15,-81.44,-326.75,-227.25,60.63,-22.06,27.62,109.75,-27.5,143.87,143.87,36,22.62,-129.94,-160.37,-73.62
16,-81.44,-326.75,-227.31,60.63,-22.06,27.62,109.81,-27.5,143.94,143.94,36,22.62,-129.94,-160.37,-73.62
17,-81.44,-326.75,-227.31,60.63,-22.06,27.62,109.75,-27.5,143.94,144,35.94,22.56,-130,-160.44,-73.69
18,-81.37,-326.75,-227.31,60.63,-22.06,27.56,109.75,-27.5,144,144.06,36,22.56,-130,-160.44,-73.75
19,-81.37,-326.81,-227.31,60.63,-22.06,27.56,109.75,-27.56,144,144.06,36,22.5,-130,-160.5,-73.81
20,-81.44,-326.88,-227.38,60.63,-22.06,27.56,109.75,-27.56,144,144.13,36,22.5,-130,-160.5,-73.81
21,-69.87,-314.38,-220.19,63.87,-21.75,24.56,109.69,-20.81,138.94,128.44,30.94,27.87,-120.5,-155.63,-72.56
