Time [s],V3-5,V4-6,V5-7,V6-8,V7-9,V8-10,V9-11,V10-12,V11-13,V12-14,V13-15,V14-16,V15-17,V16-18,V17-18
1,-80.62,-325.81,-232,64.44,-13.69,26.25,105.19,-27.75,152.87,142.81,31.06,30.12,-123.06,-164.19,-80
2,-80.62,-325.87,-232.06,64.5,-13.69,26.25,105.19,-27.75,152.87,142.87,31.06,30.12,-123.13,-164.25,-80.06
3,-80.62,-325.87,-232.06,64.44,-13.62,26.25,105.12,-27.69,152.87,142.94,31,30.06,-123.13,-164.31,-80.12
4,-80.62,-325.94,-232.12,64.5,-13.62,26.19,105.25,-27.69,152.87,142.94,31.06,30.06,-123.13,-164.37,-80.19
5,-80.56,-326,-232.12,64.5,-13.62,26.19,105.25,-27.69,152.87,142.94,31,30.06,-123.13,-164.44,-80.25
6,-80.56,-326.06,-232.12,64.5,-13.62,26.19,105.25,-27.69,152.87,143,31.06,30,-123.13,-164.44,-80.31
7,-80.56,-326.06,-232.19,64.5,-13.62,26.19,105.25,-27.69,152.94,143,31,30,-123.13,-164.5,-80.38
8,-80.5,-326.06,-232.19,64.5,-13.62,26.19,105.31,-27.62,152.94,143.06,31.06,29.94,-123.13,-164.56,-80.44
9,-80.5,-326.12,-232.19,64.5,-13.62,26.12,105.31,-27.62,153,143.06,31,29.94,-123.13,-164.62,-80.44
10,-80.56,-326.12,-232.25,64.56,-13.56,26.06,105.31,-27.62,152.94,143.13,31,29.87,-123.19,-164.69,-80.5
11,-80.56,-326.12,-232.25,64.5,-13.62,26.12,105.37,-27.62,153,143.19,31,29.87,-123.13,-164.69,-80.56
12,-80.56,-326.19,-232.25,64.5,-13.62,26.06,105.37,-27.56,153,143.19,31,29.81,-123.13,-164.75,-80.62
13,-80.62,-326.19,-232.31,64.56,-13.62,26.06,105.37,-27.56,153,143.19,31,29.81,-123.19,-164.81,-80.62
14,-80.56,-326.19,-232.31,64.56,-13.62,26.06,105.44,-27.5,152.94,143.25,31.06,29.75,-123.19,-164.81,-80.69
15,-80.56,-326.25,-232.31,64.56,-13.62,26,105.44,-27.5,153,143.25,31,29.75,-123.19,-164.88,-80.75
16,-80.62,-326.25,-232.37,64.56,-13.56,26,105.37,-27.5,153,143.25,31,29.69,-123.19,-164.88,-80.81
17,-80.56,-326.31,-232.37,64.56,-13.56,26,105.37,-27.5,153,143.31,31.06,29.69,-123.19,-164.94,-80.87
18,-80.56,-326.37,-232.37,64.56,-13.56,26,105.44,-27.44,153,143.31,31.06,29.63,-123.19,-164.94,-80.87
19,-80.5,-326.44,-232.44,64.56,-13.56,26,105.44,-27.5,153,143.37,31.06,29.63,-123.19,-165.06,-80.94
20,-80.5,-326.5,-232.44,64.56,-13.56,25.94,105.44,-27.44,153,143.44,31.06,29.56,-123.13,-165.06,-81
